,자치구,일인가구비율,일인월세,월500이상,주관적위험,주관적ses,야간보행만족도,평균생활인구,편의점수,합계,살인,강도,성폭력,절도,폭력,인구,인구수당편의점수,인구수당범죄합계,인구수당살인,인구수당강도,인구수당성폭력,인구수당절도,인구수당폭력,자치구,합계16
0,강남구,0.189926548,0.0818468,0.503672613,2.426111908,6.345289335,2.676709708,19810805.46,826,7720,7,20,607,3130,3956,556164,1.485173438,13.88079775,0.012586216,0.035960616,1.091404694,5.627836394,7.113009832,강남구,8149
1,강동구,0.131421744,0.045400239,0.229390681,2.352224576,6.026483051,2.613877119,11670839.74,235,4261,5,10,172,1645,2429,436223,0.53871529,9.767939792,0.011462027,0.022924055,0.394293744,3.771007031,5.568252935,강동구,4462
2,강북구,0.218328841,0.074123989,0.249326146,2.474148802,6.360025221,2.681588903,7417680.77,231,3393,8,7,208,1014,2156,324479,0.711910478,10.456763,0.024654908,0.021573045,0.641027617,3.125009631,6.644497795,강북구,4229
3,강서구,0.246478873,0.085513078,0.298792757,2.582673267,6.051485149,2.811386139,13055423.33,110,5135,11,4,316,1888,2916,601691,0.182818091,8.534280885,0.018281809,0.006647931,0.525186516,3.137823235,4.846341395,강서구,5450
4,관악구,0.231462926,0.119238477,0.167334669,2.53259295,6.129888943,2.713664896,12025196.63,305,5525,8,7,379,1979,3152,503297,0.60600401,10.97761362,0.015895187,0.013908289,0.753034491,3.932071918,6.262703732,관악구,5678
5,광진구,0.254108723,0.112515803,0.271807838,2.405,6.156875,2.781875,9120788.227,164,4646,6,13,261,2220,2146,357703,0.458480919,12.98842895,0.016773692,0.036343,0.729655608,6.206266092,5.999390556,광진구,5322
6,구로구,0.142509135,0.068209501,0.282582217,2.368588049,6.037546272,2.70280275,9640064.753,182,4895,7,8,328,1725,2827,410742,0.443100535,11.9174567,0.017042328,0.019476947,0.798554811,4.19971661,6.882666004,구로구,5366
7,금천구,0.152886115,0.071762871,0.262090484,2.487459807,6.212861736,2.913826367,5377081.573,132,3265,5,5,240,1141,1874,235154,0.561334275,13.88451823,0.021262662,0.021262662,1.020607772,4.852139449,7.969245686,금천구,3645
8,노원구,0.184549356,0.056866953,0.177038627,2.535425583,5.954350927,2.708036139,12878371.68,162,4209,4,9,180,1538,2478,554403,0.292206211,7.59195026,0.007214968,0.016233678,0.324673568,2.774155263,4.469672783,노원구,4543
9,도봉구,0.132152589,0.038147139,0.317438692,2.453262787,6.496178718,2.850088183,7232340.521,179,1999,1,3,104,633,1258,344166,0.52009786,5.808243696,0.002905575,0.008716724,0.302179762,1.839228744,3.655212891,도봉구,2438
10,동대문구,0.313850064,0.138500635,0.162642948,2.489959839,5.945113788,2.701472557,8968731.94,136,3975,11,3,165,1547,2249,350647,0.387854452,11.33618711,0.031370581,0.008555613,0.47055871,4.411844391,6.413857811,동대문구,4787
11,동작구,0.302439024,0.093902439,0.196341463,2.427424336,5.953057443,2.60160593,9964676.981,167,3330,1,7,396,1226,1700,396217,0.421486206,8.404485421,0.002523869,0.017667086,0.99945232,3.094264002,4.290578143,동작구,3227
12,마포구,0.212269939,0.074846626,0.322699387,2.343315508,6.251336898,2.927807487,11557867.6,291,5278,3,8,500,2094,2673,374915,0.776175933,14.07785765,0.008001814,0.02133817,1.333635624,5.585265994,7.129616046,마포구,5873
13,서대문구,0.169398907,0.068306011,0.288251366,2.353828306,5.919953596,2.875290023,8711149.69,182,3113,4,1,202,1230,1676,312800,0.581841432,9.952046036,0.012787724,0.003196931,0.645780051,3.932225064,5.358056266,서대문구,3665
14,서초구,0.181818182,0.067878788,0.448484848,2.557932264,6.433749257,2.602495544,14736968.59,132,4708,9,13,470,1812,2404,441102,0.299250513,10.67326831,0.020403444,0.029471641,1.065513192,4.107893412,5.449986624,서초구,4989
15,성동구,0.18767507,0.089635854,0.383753501,2.470277411,6.417437252,2.78005284,8257648.901,164,2767,1,3,132,1072,1559,304808,0.538043621,9.077845726,0.003280754,0.009842261,0.4330595,3.516968059,5.114695152,성동구,3026
16,성북구,0.185747664,0.049065421,0.300233645,2.405821918,6.359589041,2.801940639,10536911.76,476,3434,7,8,173,1344,1902,444055,1.071939287,7.733276283,0.015763813,0.018015786,0.389591379,3.026652104,4.283253201,성북구,3744
17,송파구,0.210474308,0.058300395,0.431818182,2.50481232,6.229547642,2.700192493,17969117.39,180,5576,6,1,288,2274,3007,664496,0.270881992,8.391322145,0.0090294,0.0015049,0.433411187,3.422142496,4.525234162,송파구,6090
18,양천구,0.18967587,0.031212485,0.349339736,2.559659091,6.340340909,2.80625,9856271.978,317,3882,3,3,138,1590,2148,471154,0.672816107,8.239344248,0.006367345,0.006367345,0.292897864,3.374692776,4.55901892,양천구,4112
19,영등포구,0.2319202,0.110972569,0.230673317,2.518908865,6.469311841,2.613143211,11570880.57,169,5969,15,5,455,2304,3190,368550,0.458553792,16.19590286,0.040700041,0.01356668,1.234567901,6.251526252,8.655541989,영등포구,6322
20,용산구,0.186305732,0.068471338,0.324840764,2.573448547,6.309505106,2.855459544,7231508.871,181,4060,1,5,327,1346,2381,229161,0.789837712,17.71680172,0.004363744,0.021818721,1.426944375,5.873599784,10.3900751,용산구,4137
21,은평구,0.161073826,0.067114094,0.178970917,2.411556006,6.013177902,2.677141409,10727656.19,133,3883,6,4,230,1387,2256,486794,0.273216186,7.976680074,0.012325542,0.008217028,0.472479118,2.84925451,4.634403875,은평구,4501
22,종로구,0.166666667,0.051136364,0.285984848,2.5,6.511648746,2.853046595,8061536.016,142,4057,7,10,253,1644,2143,154770,0.91749047,26.21309039,0.045228403,0.064612005,1.634683724,10.62221361,13.84635265,종로구,4459
23,중구,0.286919831,0.130801688,0.299578059,2.466450216,6.155844156,2.812770563,7288201.688,223,4184,1,9,267,1846,2061,125709,1.773938222,33.28321759,0.00795488,0.071593919,2.123952939,14.68470833,16.39500752,중구,4584
24,중랑구,0.204301075,0.084826762,0.307048984,2.40212528,6.241610738,2.771812081,8772325.079,166,4571,5,3,172,1533,2858,408226,0.4066375,11.19722899,0.012248117,0.00734887,0.421335241,3.755272815,7.001023943,중랑구,5041
